item_id,created_week,workflow_id,item_type,severity,customer_account,users_impacted,root_cause,engineering_focus_cost,noise_risk,triage_score,decision,owner,follow_up
IN-001,2026-W14,MHA004,Scope addition,Low,Canyon County Mental Health,164,manual handoff break,13,19,27.1,Say no with rationale,Integrations Engineering,Add to sprint review decision log
IN-002,2026-W16,MHA008,CS ask,Medium,Metro Access Clinic,669,instrumentation gap,28,3,63.4,Merge into epic,Analytics Engineering,Wait for second customer signal
IN-003,2026-W11,MHA003,Data debt,Critical,Evergreen Community Care,539,instrumentation gap,21,7,84.6,Ship next,Product Ops,Wait for second customer signal
IN-004,2026-W09,MHA006,Partner request,High,Heartland Therapy Network,978,partner configuration drift,16,26,74.6,Merge into epic,Portal Engineering,Send CS-facing rationale and workaround
IN-005,2026-W16,MHA008,Data debt,Medium,Metro Access Clinic,182,instrumentation gap,19,2,39.8,Route to owner,Analytics Engineering,Send CS-facing rationale and workaround
IN-006,2026-W15,MHA006,Data debt,Medium,Canyon County Mental Health,64,instrumentation gap,11,12,31.4,Route to owner,Portal Engineering,Convert into acceptance criteria
IN-007,2026-W16,MHA007,Partner request,Medium,Evergreen Community Care,240,manual handoff break,28,38,31.4,Route to owner,Growth Product,Convert into acceptance criteria
IN-008,2026-W15,MHA006,Bug,Medium,Heartland Therapy Network,921,manual handoff break,13,15,65.5,Merge into epic,Portal Engineering,Convert into acceptance criteria
IN-009,2026-W15,MHA004,Partner request,High,Evergreen Community Care,576,manual handoff break,21,23,74.4,Merge into epic,Integrations Engineering,Convert into acceptance criteria
IN-010,2026-W09,MHA001,Bug,High,Northeast Behavioral Health,389,instrumentation gap,4,24,68.8,Merge into epic,Access PM + Intake Engineering,Convert into acceptance criteria
IN-011,2026-W10,MHA002,Partner request,Low,Heartland Therapy Network,295,manual handoff break,3,40,35.7,Route to owner,Marketplace Product,Send CS-facing rationale and workaround
IN-012,2026-W17,MHA001,Bug,High,Canyon County Mental Health,1030,manual handoff break,17,5,80.6,Merge into epic,Access PM + Intake Engineering,Wait for second customer signal
IN-013,2026-W13,MHA001,Partner request,High,Evergreen Community Care,756,EHR mapping mismatch,19,29,74.7,Merge into epic,Access PM + Intake Engineering,Add to sprint review decision log
IN-014,2026-W16,MHA004,Partner request,High,Pacific Youth Counseling,451,manual handoff break,15,36,65.8,Merge into epic,Integrations Engineering,Wait for second customer signal
IN-015,2026-W16,MHA003,Scope addition,Medium,Heartland Therapy Network,339,partner configuration drift,22,21,45.0,Say no with rationale,Product Ops,Send CS-facing rationale and workaround
IN-016,2026-W13,MHA008,Bug,Low,Evergreen Community Care,629,EHR mapping mismatch,19,10,54.9,Merge into epic,Analytics Engineering,Convert into acceptance criteria
IN-017,2026-W07,MHA003,Bug,Low,Heartland Therapy Network,258,edge-case prompt behavior,3,15,37.1,Route to owner,Product Ops,Wait for second customer signal
